id,submission_id,created_datetime_utc,author,score,body,sent,label
ndt406q,1nf1r07,2025-09-12T12:52:27+00:00,rustyfries,0,"It'd also be the first Collingwood vs Hawthorn Grand Final. Between 1975 an 1991, Collingwood and Hawthorn played in all but 1 grand final without meeting in any of them. (1982 Carlton vs Richmond)",0.7717,pos
ndszbhn,1nf1ohj,2025-09-12T12:25:07+00:00,default99,2,"""This is the way the Croms season ends / Not with a bang but a whimper""   
  
Rough ending to the year for the Croms.   
Could that be demoralising enough to impact next year?   
Bad enough for players to leave the club? Maybe the begging of a slide down the ladder, player revolt, coach sacked - something to look forward to next year.    
15th to 1st in one year and back to 15th in 26?   
   
After that GF against the Tigers they shat the bed from memory, maybe it won't be that bad but its been a sad way to end the season, they do have a recent history of some weird stuff in prep or off season.   
Can't wait for the reasonable comments from Adelaide fans online",-0.8408,neg
ndszc75,1nf1ohj,2025-09-12T12:25:14+00:00,VulpesVulpe5,1,Someone’s going to drop a Hawks x Tigers mashup to truly rub salt in the wound,0.2023,pos
ndsyjm0,1nf1ohj,2025-09-12T12:20:31+00:00,Jeffmister,163,One where the ~~Richmond~~ Hawthorn theme song is played on a loop...,0.34,pos
ndt5p0t,1nf1ohj,2025-09-12T13:01:55+00:00,weinertorn,2,LOTY Stiff competition from Carlton losing to Richmond before the first round,-0.3818,neg
ndt3ifh,1nf1jiv,2025-09-12T12:49:38+00:00,Look_DePlaneDePlane,-4,"As a Richmond supporter I couldn't be any happier than to see the Crow's get unceremoniously dumped out of the finals in straight sets. The way they capitulated both weeks brings unrequited joy to my heart and totally makes up for the season we had. I used to hate Collingwood w when I was growing up but after the way Taylor Walker behaved with his pathetic lack of sportsmanship during his speech post match when we won the 2017 premiership made me hate them more than I ever hated Collingwood. That they completely imploded as a club was one of the funniest things I've ever seen in my 62 years and I'm hoping that this meek exit will get into their heads and have the same effect cause there's nothing better than seeing  the Adelaide Crows in disarray. That being said, watching Port Adelaide fail is almost as enjoyable. Both of them pretenders lol",-0.8253,neg
ndt74so,1nf1jiv,2025-09-12T13:10:01+00:00,ResponsibilityBig472,2,"I hope you’re having a really terrible night sir / madam.

I say we achieve an A+ because we came 15th last year, and looked totally out of sorts.

We were not thumped both weeks, even if we should have been, it was just a couple of kicks in both.

There were 6 players with finals experience, wait until richmond plays in finals again and you can’t do shit either because you have no players with finals experience. I hope it hurts badly when you go out in straight sets next time.

Least tex doesn’t punch players in the head from behind.",-0.7713,neg
ndtbb6h,1nf1jiv,2025-09-12T13:32:40+00:00,Mastema13,5,"Man, for a tigers supporter how does the team you beat in 2017 live so rent free in your head. Your all through this thread spouting off. You havent got much goin on elsewhere do you?",0.6887,pos
nd1s8sv,1nbdcq9,2025-09-08T07:51:10+00:00,rfarlz,1,"Pretty sure he would be an RFA, so Richmond would just match whatever we're offering (unless we paid him way overs so they get band 2 compo) and make us trade for him anyway.",0.6705,pos
nd184y7,1nbdcq9,2025-09-08T04:45:19+00:00,Croob2,1,">I dont agree, using Hawthorns pick was not the only way to secure Baker. There were plenty of other options. 

It was 100% Hawthorns fault for chucking a hissyfit and trading away 14 to Carlton because we didn't hand Barrass over for a packet of chips

>pay our second rounder (bakers actual worth at the time)

I agree that's his worth but the bloke himself said he wanted Richmond to get a good deal, and I don't think trading future picks when you're as bad as we are is ever a good option",0.1965,pos
nd1b9cq,1nbd7w6,2025-09-08T05:11:23+00:00,Lucky_Afternoon3772,8,This moment and Karmichael Hunt’s goal against Richmond are two of Gold Coast’s greatest moments,0.6369,pos
nd1gg23,1nbd7w6,2025-09-08T05:57:05+00:00,Afterthought60,11,I'd add Noah Anderson's goal after the siren against Richmond too. Extra points for Huddo's commentary.,0.0,neu
nd0j56q,1nbb8sr,2025-09-08T01:58:42+00:00,Saaaave-me,19,Tasmanian tigers represent!,0.0,neu
nd0qn1v,1nba1e9,2025-09-08T02:44:27+00:00,Shadormy,3,"[He did pick 9 sides](https://www.sen.com.au/news/2025/02/23/david-king-names-his-top-8-for-the-2025-afl-season) but not bad.

Better than [his 2025 premier/runners-up predictions](https://www.foxsports.com.au/afl/fox-footy-commentators-crystal-ball-afl-predictions-for-2025-afl-predictions-2025-who-wins-premiership-flag-brownlow-medal-odds/news-story/7f8dc32e3d109367741b54e57994bbfe): 

>DAVID KING (Fox Footy expert analyst/First Crack)

>Top 8 changes: Fremantle, Melbourne, Gold Coast and Collingwood IN | Sydney, Port Adelaide, Carlton and Western Bulldogs OUT

>Premiers: Fremantle. “They’re better stocked than any other team.”

>Runners-up: GWS Giants

>Wooden spoon: Richmond",0.6722,pos
nd0owbu,1nba1e9,2025-09-08T02:33:47+00:00,Shadormy,6,">Damian Barrett:

>Premier: Geelong

>Runner-up: Fremantle

>Wooden spoon: Richmond

>Moving up: Fremantle

>Set to fall: Western Bulldogs

...

>Will the Suns finally make finals?: Nup

[From Here](https://www.afl.com.au/news/1274339/expert-predictions-for-2025-aflcomaus-premiers-wooden-spooners-brownlow-medal-winner-rising-star-and-more). Not awful but predicting Freo to play the GF is a fairly wild one.

Out of the 10 on the AFL site, 5 had GWS in the Grand Final too. (2 had Freo, none had Blues or Swans). Only 1 had Suns playing finals and everyone picked the Tigers for the spoon.",0.8762,pos
nd1l5sq,1nba1e9,2025-09-08T06:40:42+00:00,ThunderBird2744,1,"Both are correct. 

Ask any Tigers fan what constitutes success for this season; beating Carlton in Round 1 made their season arguably, plus a few other wins when they weren't expected to get any. 

On the other hand, if its a perennial club that is contending or expected to have success over a long period, or been close enough to ultimate glory (call it what you will) that a GF loss would, on paper, make it appear that they'll easily back in the similar position in 12 months, when mentally, as the results have shown, its tougher to get there, just to even win a final. 

It arguably easier to win multiple premierships in a row than it is to lose a Grand Final with a huge margin and be back there the following season. 

What makes the 2024 loss sting worse for the Swans in my opinion was that they got badly beaten in 2022, (a team ahead of its time some can say - leading to 2023 down year), make it back in 2024 and not go close to winning it again, when they should have been much improved and more mentally prepared. Its both the coaching staff, and the players on the park. The Swans in 2025 would have been okay if they lost 2024 by a couple of goals (again debatable). The Swans should be aiming for finals again in 2026, with the aim of getting D.Cox his first finals win as a coach.",0.9829,pos
ncz6hxq,1nb4lty,2025-09-07T21:24:35+00:00,BIllyBrooks,33,"Genuinely believe Richmond would go winless, happy to have been wrong. Didn’t think West Coast would get that close to it though.",0.1531,pos
nd07u0z,1nb4lty,2025-09-08T00:51:07+00:00,b0rtbort,5,"- pies leading the ladder for most of the season

- carlton missing finals by a fair way

- tigers winning more than 3 games

- north not getting 7+ wins",0.1285,pos
nczvkg6,1nb4lty,2025-09-07T23:38:37+00:00,CreditToDuBois,2,"I thought Richmond were set to have an all-time stinker of a season

I thought Collingwood's age profile and reliance on ND for ball movement was going to get the best of them at some point",0.4019,pos
ncw86pr,1naqh7d,2025-09-07T12:35:23+00:00,Runtetra,20,"It’s ok, I saw Brandon Ellis running some laps at the local track the day before the first Suns v Richmond game this year, which was confusing to me, as I assumed they’d already be in Melbourne, and I asked him if he’s playing, then he told me he’s retired. 

I’m actually a massive Suns fan but I’d forgotten he’d retired.

My other super awkward Suns player interaction: 

Saw Matt Rowell and Noah Anderson at the beach kicking a soccer ball sometime during their first year with the Suns. I asked for a selfie with Matt but didn’t really recognise Noah 😂 for the first few months Rowell was much more impactful than Anderson, and players always look slightly different in real life, thats my excuse anyway. It’s only in retrospect that I’ve realised it was Noah. 

I’ve also spotted Matt Rowell getting out of his car at a cafe with a hoodie, sunglasses, and hat on being incognito and just said “hey Rowelly” and he was like “hey mate” probably thinking “shit how’d I get spotted immediately?”",0.8402,pos
ncvv7hw,1napz00,2025-09-07T10:53:52+00:00,aph1985,49,"That says, Hawks has never won at ENGIE




Also last few years, hawks has either beaten or drawn with premiers. 


2020:  Hawks vs Tigers, Hawks win by 32 points
2021: Hawks vs Demons draw (R18)
2022: Hawks vs Cats, Hawks win by 12 points
2023: Hawks vs Magpies, Hawks win by 32 points
2024: Hawks vs Lions, Hawks win by 25 points


2025, Hawks have beaten Collingwood, Adelaide. ",0.8226,pos
ncv6p6p,1namdp1,2025-09-07T07:02:42+00:00,Doc323467,74,"Probably 2.

The way he left Richmond still leaves a very sour taste in my mouth though, completely screwed over Taranto and Hopper by selling them the vision, and abandoning ship 10 games in to jump to a club with elite talent coming through in spades.

Still an excellent coach but I think that's always going to be a mark on his legacy.",0.1787,pos
ncv96h5,1namdp1,2025-09-07T07:24:41+00:00,sarcHastical,1,"He won a few at the Tigers, so a few at the Suns. Same amount at both. I can see him doing it too.",0.5719,pos
ncv76z5,1namdp1,2025-09-07T07:07:02+00:00,,26,Yeah could be argued he's a filthy mother F×ucker how he treated Mrs Hardwick but not when it comes to the  success at Richmond.,0.7096,pos
ncv9w08,1namdp1,2025-09-07T07:31:01+00:00,AlphonseGangitano,7,I’m a Richmond fan and I’ve never had this thought. He gave us everything and was on the verge of being sacked and delivered 3 flags. How he left is irrelevant. ,0.3182,pos
ncvfujx,1nak4ep,2025-09-07T08:25:56+00:00,Ardeo43,1,"Great, I'll let all the Carlton fans who booed Milburn for a decade know that they were the ones in the wrong the entire time.  Add in all the Richmond fans who still boo Stewart as well while we're at it.  And maybe Melbourne supporters should spend more time cheering Maynard.",0.8617,pos
ncur75z,1najwuo,2025-09-07T04:46:52+00:00,sss133,54,"Pretty crazy. If you’d have told year 9 me in 2004 that Hawthorn and Geelong would win 4 flags, Richmond 3, WC, and fucking Melbourne, Sydney and Western Bulldogs breaking their premiership droughts (and the Swans doubling up) as well as Collingwood and WC getting 2 flags before Essendon win another final I’d have rightly called you insane",0.8316,pos
ncvmczg,1najwuo,2025-09-07T09:28:18+00:00,sss133,8,"A lot of my mates and clients joke that I should be sick of success but I’m like yeah nah we could go on a 50year slump. 

Had an 18 year old Richmond supporter as a client and I was trying to tell him how for me growing up, Richmond were todays Carlton/Essendon and he just couldn’t comprehend it. So at least it can turn around",0.8735,pos
ncvduhb,1najwuo,2025-09-07T08:07:20+00:00,sss133,8,So’d Richmond 🤣 but I’d have been more surprised at the 3&4 flags than a break through flag,0.4194,pos
ncvy0lb,1nahz6z,2025-09-07T11:18:43+00:00,FLIPSTATIC_ENERGY,1,I have essendon as geelongs first game. Richmond didnt enter the league until 1908,0.0,neu
ncur2t2,1nagiqp,2025-09-07T04:45:55+00:00,thedelinquents,6,"For some reason, he really plays well against WCE, North and Richmond. I have no idea why.",0.3551,pos
ncuf5qt,1nagdrp,2025-09-07T03:16:46+00:00,grantspatchcock,42,"Mick Malthouse on comms challenges me greatly.  
  
There is simply no one that even comes close to the level of insight he has into the game. I’ve lost count of how many times he has completely called exactly what pans out in the next passages of play. He is simply exceptional at it.
  
He also got so mad calling a Richmond game last year that he was silent for a quarter.  
  
But on the flip side, he has the absolute worst takes on any sort of social issue in the game. Flat out doesn’t believe slurs of any sort should warrant suspensions.",-0.8627,neg
nctjht7,1nae43x,2025-09-06T23:59:23+00:00,No_Childhood_7665,336,"It helps when the 2 biggest players on the team are best friends from high school who commit to the club together and build culture. 
Culture isn't just from the top it is brought by the personalities in the team. I think this is often overlooked because skill and talent alone isn't enough but you need to pair it with the correct attitudes in the whole team.
 I'm very happy for gold coast because we all thought it was a basket case when co captains steven may and tom lynch left. Seeing the way those 2 go about things at richmond and melbourne now, I question their leadership abilities as captains of the team and not surprised they jumped ship.",0.9299,pos
ncz4bh1,1nadw8i,2025-09-07T21:14:03+00:00,ConoRiot,5,"Boos when they’re deserved are fine.

Case in point the Tigers fans booing Stewart in the last round.

He did something awful to Prestia so I think it’s only fair he gets booed.

What happened on Thursday is not ok.",-0.1994,neg
ncrk3op,1na1stf,2025-09-06T17:38:11+00:00,yiddoeagle,2,"Before the season, I’d have said that Richmond would be far more likely to have had to suffer a one or two win season, with what they’d done in stripping out their list: but the eagles are far worse, when they shouldn’t be! 

Every week the West Sport podcast assures me that the green shoots of recovery are showing, but I just can’t see anything but more pain for half a decade yet and it’s all on the management (and not the coach, or the players either really)",-0.8037,neg
ncqgxkg,1n9ztzz,2025-09-06T14:12:58+00:00,Teimy,2,"Personally I do not rate him, Unbelievable tagger, but the games moving past that need.

Hes good and obviously deserves an AFL gig but 600k a year sounded about right for him to me which is apparently what he was being offered. (Wanted 800k) 

I think ideally you want a guy like Dunkley who can tag when necessary, but most teams these days just go pound for pound, gun mid vs gun mid. 

Not really worth paying decent coin for someone who is a specialist tagger (unlucky for him because he was told to develop into that role for the past few years) And when he was given the reigns to get some pill himself he would get 30+ disposals for us, but we barely beat Richmond and Essendon in those games. That tells me he isnt creative enough when he gets the ball that much (or impactful) and probably abit of a stat padder in the handball chain. 

I really like him, seems like a good guy. But he’s kind of over rated by Saints fans. I know full well i’d cop alot of flack for this among other fans, but I truly believe this, this is just my opinion though. 

Good luck to him, get the bag",0.9889,pos
nctyuuw,1n9zbc9,2025-09-07T01:33:19+00:00,porsella69,6,"I can’t disagree at all, Dusty is 100% the greatest finals/big game player probably of all time but going purely off the eye test, for me it’s GAJ and Fyfe top 2, both just had the raw instinct of see ball get ball as well as be one of the best night in night out in some absolutely shocking teams. Danger had a knack to make the wrong decisions or just be poor by foot for a game every now and then, and Dusty had the ability to kind of go into cruise control in that Richmond side and let the others do the work around him. (Once again not discrediting them, top 5 in the modern afl is not a sledge by any means)",-0.399,neg
nd0sw0m,1n9ypyd,2025-09-08T02:58:21+00:00,BanzBear,1,"Why not? He was with Richmond forever... They were entering a rebuild and he said he's not the man to do it. Takes years of commitment for that, and he probably wanted a fresh start.",0.5994,pos
ncq9fde,1n9ygl2,2025-09-06T13:28:34+00:00,Kozeyekan_,33,"The Guangzhou Super Tigers. 

They'll enter the league in 2076.",0.5994,pos
nctze15,1n9ycev,2025-09-07T01:36:38+00:00,No_Independent936,3,"GWS beat Adelaide before they beat Collingwood, Essendon, Fremantle, Geelong, North, Richmond and West Coast, so not true.",-0.3839,neg
ncqpazi,1n9yas7,2025-09-06T14:59:31+00:00,Doc323467,36,"It was a very good round of finals, but doesn't come close to the 2022 Week 1 of Finals for mine.

Brisbane vs Richmond was unbelievable, Sydney getting the upset win over Melbourne, Geelong vs Collingwood was one of the all time great Qualifying Finals (and probably was the last hurdle Geelong fully needed to jump in order to win the flag), and then Fremantle with a historic comeback over the Bulldogs. I don't think anything will ever top that to be honest.",0.9766,pos
ncq0h0v,1n9ya2c,2025-09-06T12:29:41+00:00,Plenty_Area_408,39,Took 100 years to get Richmond Hawks.,0.0,neu
ncq0vwx,1n9ya2c,2025-09-06T12:32:34+00:00,Bergasms,12,Imagine losing to Hawthorn in a final? Couldn't be my Tigers,-0.3818,neg
ncq2lq8,1n9ya2c,2025-09-06T12:44:25+00:00,Shadormy,9,Dogs v Richmond hasn't happened yet. Dogs v Blues also.,0.0,neu
nctmy8h,1n9ya2c,2025-09-07T00:20:08+00:00,bdm68,1,"Hawthorn and Richmond made the finals in the same year in 1971, 1974, 1975, 1977, 1982, 2001, 2013, 2014 and 2015 without meeting in a final before meeting in a qualifying final in 2018.",0.0,neu
nctxtlh,1n9y9l7,2025-09-07T01:26:48+00:00,TimothyLuncheon,3,"Doesn't matter if it wasn't. It's one of the only times I've seen where something that is clearly inconclusive doesn't go with the umpires call and overturns it. Then they just said ""oh we have other angles"", even though the angles they look at are the ones they show on TV. And Lynch does agree that we got shafted, he said he still can't believe it on the Tigers podcast a few months ago. It's not outrageous to say it's beyond stupid that something inconclusive overturned the umpires call (never seen it happen again until a game earlier this year)",0.4949,pos
ncq4sgi,1n9y9dw,2025-09-06T12:59:00+00:00,DemocraticPants,3,"Hardwick after 6 years coaching Richmond had 3 finals appearances and 0 wins and is now making a case for best coach of the 21st century.


Fremantle showed a lot of progress this season and the players love him.",0.9423,pos
ncpicql,1n9u3me,2025-09-06T09:56:34+00:00,thehungryhippocrite,-6,"The swans were worse than the bulldogs in the 2016 grand final and probably would have lost and the umpiring was completely and utterly fucked and deserved everything it got.

The giants just lost after a crazy comeback, lost their best young player midway through the game who would have been massive in the endgame and he’s now gone probably for all of 2026, and also lost their most dependable backman in the final quarter. I think we’re allowed to be a bit disappointed.

And the umpiring was fucked. It’s been fucked all season across the entire AFL and everyone knows it. And the giants had the worst free kick differential in the comp in this year that everyone says was fucked expect for Essendon who are irrelevant. The giants are the only team that is simultaneously in the bottom 5 for free kicks for and in the top 5 for free kicks against.

In the years the giants have looked their absolute best (and 2019 was not one of these) the umpiring has been between bad and atrocious in the finals they’ve lost including the 2016 prelim which was far worse than the 2016 grand final, and in 2023 where they got royally fucked. 

The only team over the last entire 10 years that has a worse free kick differential than the giants is Richmond and they have three fucking premierships so who cares. Happy to share with you the stats. 

Absolutely no one in the comp has the right that the giants have to be furious at the umpiring, and this year’s umpiring has been the worst in many seasons.",-0.9892,neg
ncp8vg6,1n9u3me,2025-09-06T08:19:10+00:00,No_Independent936,3,They nearly lost to Richmond and would've lost a lot of games if the opposition kicked straight. You just knew they weren't a threat,0.0196,neu
ncpoant,1n9twov,2025-09-06T10:53:14+00:00,NuuuDaBeast,11,"I’ve seen enough, Suns beat Lions Pies Cats for the greatest finals run of all time. They threepeat cementing Dimma as the goat, they rebrand to the Goldcoast Tigers",0.6369,pos
ncpsipp,1n9twov,2025-09-06T11:30:00+00:00,yokobarron,6,Why does Luke Ryan look like he should be lining up as Full Forward for the Cobram Tigers Ressies and smoking a dart behind the sheds at three-quarter time?,0.3612,pos
ncpiqd4,1n9twov,2025-09-06T10:00:27+00:00,TreacleMajestic978,5,I don’t ever remeber shai bolton being this frustrating to watch at Richmond,-0.5228,neg
ncpny06,1n9twov,2025-09-06T10:50:01+00:00,Adorable-Pilot4765,4,"How has Clark still not come off for a HIA? He landed straight on his head from about 8 feet in the air, if this was round 8 against Richmond or something he’d be in the sheds.",0.2263,pos
ncp89af,1n9twov,2025-09-06T08:13:01+00:00,Created_By_InGen,2,Let’s go Richmond Tigers B!!!,0.0,neu
ncpsz7e,1n9twov,2025-09-06T11:33:44+00:00,MomentsOfDiscomfort,2,It’s just crazy how much you can see the late 2010s Richmond DNA in how Gold Coast play. He’s a cunt but credit to Hardwick for what he’s done with this club,0.4404,pos
ncpyyb1,1n9twov,2025-09-06T12:18:59+00:00,Bergasms,2,"Tigers know, freo can still do it",0.0,neu
ncpx8c5,1n9twov,2025-09-06T12:06:34+00:00,nufan86,1,As a Richmond fan I forgot what good footy looks like. Been a day.,0.7717,pos
ncppiue,1n9twov,2025-09-06T11:04:20+00:00,matthew_anthony,6,"They feel very 2022 Pies, 2016 Tigers esque- a year of heartbreak and they’ll probably finish top 4 next year and be a serious threat",-0.765,neg
ncpqphm,1n9twov,2025-09-06T11:14:47+00:00,bemmisbaggins666,3,Reminds me of dimma tigers,0.0,neu
ncpj2lk,1n9twov,2025-09-06T10:03:51+00:00,Anon_be_thy_name,1,Did you watch him Richmond? Everything he did was 50/50 brilliant or completely shit,-0.024,neu
ncpzo97,1n9twov,2025-09-06T12:24:04+00:00,Regional_King,2,Doesn’t suit the game plan. Better at the tigers,0.4404,pos
ncq4n6t,1n9twov,2025-09-06T12:58:02+00:00,mildCombustion,3,I used to hate he was the Richmond coach. As I hated the club but couldn't hate him,-0.875,neg
ncpn801,1n9twov,2025-09-06T10:43:25+00:00,TimothyLuncheon,1,Happens to the Tigers a hell of a lot,-0.6808,neg
ncpfyj8,1n9twov,2025-09-06T09:32:01+00:00,baldmanjones,2,Richmond vs GWS prelim final 2017,0.0,neu
ncq2bi2,1n9twov,2025-09-06T12:42:28+00:00,Regional_King,1,He played at Richmond 30/40m out only see him deep in the pocket with your lot.,0.34,pos
ncpm0oa,1n9qsw6,2025-09-06T10:32:08+00:00,Correct_Chemical5179,4,Richmond were still in the VFA back then.,0.0,neu
ncot3df,1n9r0cn,2025-09-06T05:48:15+00:00,Plenty_Area_408,6,"As someone who is colourblind, I find this a harder matchup than Richmond/Carlton or Essendon/Carlton. Shorts are the only saving grace",0.4215,pos
ncopncf,1n9r0cn,2025-09-06T05:18:27+00:00,LukesLovelyComments,-1,Carlton and Richmond are far worse,-0.4767,neg
ncopsyr,1n9r0cn,2025-09-06T05:19:45+00:00,WillTendo92,-1,100 years and we had no trouble with pies v north and bombers and tigers,-0.5994,neg
